1/27_dfc1 (Time),1/27_dfc1 (Lp/Rp),3_9_dfc1-1 (Time),3_9_dfc1-1 (Lp/Rp),3_9_dfc1-2 (Time),3_9_dfc1-2 (Lp/Rp),3_10_dfc1-2 (Time),3_10_dfc1-2 (Lp/Rp),3_10_dfc1-2 (Time),3_10_dfc1-2 (Lp/Rp),3_5_dfc2-1 (Time),3_5_dfc2-1 (Lp/Rp),3_5_dfc2-2(Time),3_5_dfc2-2 (Lp/Rp),7/6_dfc3 (Time),7/6_dfc3 (Lp/Rp),7/6_dfc4 (Time),7/6_dfc4(Lp/Rp),7/20_dfc1 (Time),7/20_dfc1 (Lp/Rp),7/21_dfc1 (Time),7/21_dfc1 (Lp/Rp),8/5_dfc1 (Time),8/5_dfc1 (Lp/Rp),8/6_dfc1 (Time),8/6_dfc1 (Lp/Rp)
78,4.529555905,78,10.60578944,78,7.954342076,78,11.71055917,78,14.36200653,78,11.33493746,78,11.73265456,39,6.433659032,39,4.79600037,39,11.93151311,39,6.462902937,78,8.749776284,78,11.06150695
80,4.640032878,80,10.82674338,80,7.73338813,80,11.71055917,80,14.14105258,80,11.33493746,80,11.73265456,40,6.433659032,40,4.79600037,40,11.78947129,40,6.297187477,80,9.147493388,80,11.06150695
82,4.529555905,82,11.04769733,82,7.73338813,82,11.71055917,82,14.36200653,82,11.33493746,82,11.73265456,41,6.433659032,41,4.79600037,41,12.07355494,41,6.462902937,82,8.948634836,82,10.68864717
84,4.640032878,84,11.04769733,84,7.73338813,84,11.48960522,84,14.14105258,84,11.33493746,84,11.73265456,42,6.433659032,42,4.912975988,42,12.49968041,42,6.462902937,84,9.545210492,84,11.06150695
86,4.860986825,86,10.82674338,86,7.954342076,86,11.93151311,86,14.36200653,86,11.33493746,86,11.73265456,43,6.433659032,43,4.445073513,43,12.49968041,43,6.297187477,86,9.942927596,86,11.18579355
88,4.640032878,88,11.04769733,88,7.954342076,88,11.93151311,88,14.36200653,88,11.33493746,88,11.73265456,44,6.550634651,44,4.679024751,44,12.64172223,44,6.462902937,88,8.948634836,88,11.18579355
90,4.640032878,90,11.26865128,90,7.954342076,90,12.15246706,90,14.14105258,90,11.33493746,90,11.73265456,45,6.316683414,45,4.79600037,45,12.92580587,45,6.628618397,90,9.942927596,90,11.31008014
92,4.640032878,92,11.48960522,92,7.954342076,92,12.15246706,92,14.36200653,92,11.33493746,92,11.93151311,46,6.199707795,46,4.79600037,46,12.92580587,46,6.462902937,92,9.545210492,92,11.43436673
94,4.750509851,94,11.04769733,94,7.954342076,94,12.15246706,94,14.58296047,94,11.13607891,94,11.93151311,47,6.433659032,47,4.679024751,47,13.0678477,47,6.794333857,94,9.744069044,94,11.31008014
96,4.750509851,96,11.48960522,96,7.954342076,96,12.59437495,96,14.58296047,96,11.13607891,96,11.93151311,48,6.433659032,48,4.912975988,48,13.0678477,48,6.628618397,96,9.34635194,96,11.31008014
98,4.750509851,98,11.71055917,98,7.512434183,98,12.8153289,98,14.58296047,98,11.13607891,98,11.93151311,49,6.433659032,49,5.029951607,49,13.0678477,49,6.960049317,98,9.545210492,98,11.18579355
100,4.860986825,100,11.93151311,100,7.954342076,100,12.59437495,100,14.58296047,100,11.13607891,100,12.13037167,50,6.433659032,50,4.912975988,50,13.49397317,50,6.794333857,100,9.942927596,100,11.31008014
102,4.860986825,102,11.71055917,102,8.39624997,102,12.59437495,102,14.58296047,102,11.33493746,102,11.93151311,51,6.433659032,51,4.79600037,51,13.63601499,51,6.960049317,102,9.744069044,102,11.68293992
104,4.750509851,104,11.48960522,104,8.617203916,104,12.8153289,104,14.58296047,104,11.33493746,104,12.13037167,52,6.433659032,52,4.912975988,52,13.49397317,52,6.960049317,104,9.744069044,104,11.55865333
106,4.860986825,106,11.93151311,106,8.175296023,106,13.03628285,106,14.58296047,106,11.53379601,106,11.93151311,53,6.433659032,53,4.912975988,53,13.49397317,53,6.960049317,106,10.14178615,106,11.68293992
108,4.971463798,108,11.48960522,108,8.175296023,108,12.59437495,108,14.80391442,108,11.33493746,108,11.93151311,54,6.66761027,54,4.679024751,54,13.35193134,54,6.960049317,108,9.942927596,108,11.31008014
110,4.860986825,110,11.71055917,110,8.175296023,110,12.8153289,110,14.80391442,110,11.33493746,110,11.93151311,55,6.550634651,55,4.912975988,55,13.63601499,55,7.125764777,110,10.14178615,110,11.80722652
112,4.860986825,112,11.71055917,112,7.954342076,112,12.8153289,112,14.58296047,112,11.33493746,112,11.93151311,56,6.66761027,56,5.146927226,56,13.77805681,56,7.125764777,112,10.3406447,112,11.93151311
114,4.750509851,114,11.71055917,114,8.175296023,114,12.8153289,114,14.80391442,114,11.53379601,114,11.93151311,57,6.550634651,57,4.912975988,57,13.49397317,57,7.291480237,114,9.942927596,114,11.80722652
116,4.750509851,116,11.71055917,116,8.175296023,116,13.03628285,116,14.80391442,116,11.53379601,116,11.93151311,58,6.550634651,58,5.029951607,58,13.63601499,58,6.960049317,116,10.14178615,116,12.05579971
118,5.081940771,118,11.93151311,118,8.39624997,118,13.47819074,118,15.02486837,118,11.13607891,118,11.93151311,59,6.550634651,59,4.912975988,59,13.63601499,59,7.457195697,118,9.942927596,118,11.80722652
120,4.860986825,120,11.93151311,120,7.73338813,120,13.03628285,120,15.02486837,120,11.33493746,120,11.93151311,60,6.550634651,60,5.029951607,60,13.77805681,60,7.291480237,120,10.14178615,120,12.05579971
122,4.750509851,122,11.71055917,122,8.39624997,122,13.47819074,122,15.02486837,122,11.33493746,122,12.13037167,61,6.550634651,61,5.146927226,61,13.77805681,61,7.125764777,122,10.3406447,122,11.93151311
124,4.971463798,124,12.15246706,124,8.175296023,124,13.25723679,124,14.58296047,124,11.33493746,124,11.93151311,62,6.550634651,62,5.029951607,62,13.92009863,62,7.291480237,124,10.3406447,124,12.05579971
126,4.971463798,126,12.15246706,126,8.617203916,126,13.25723679,126,15.24582231,126,11.33493746,126,11.73265456,63,6.433659032,63,5.146927226,63,13.92009863,63,7.125764777,126,10.3406447,126,12.42865949
128,4.971463798,128,11.93151311,128,8.39624997,128,13.47819074,128,15.24582231,128,11.33493746,128,11.93151311,64,6.66761027,64,5.029951607,64,14.06214046,64,7.291480237,128,10.14178615,128,12.05579971
130,4.971463798,130,11.93151311,130,8.175296023,130,13.69914469,130,15.24582231,130,11.33493746,130,11.93151311,65,6.66761027,65,5.146927226,65,14.06214046,65,7.291480237,130,9.744069044,130,12.3043729
132,5.081940771,132,11.71055917,132,8.175296023,132,13.69914469,132,15.24582231,132,11.53379601,132,11.93151311,66,6.66761027,66,5.263902845,66,14.20418228,66,7.457195697,132,10.53950325,132,12.05579971
134,5.192417744,134,12.15246706,134,8.39624997,134,13.69914469,134,15.24582231,134,11.53379601,134,11.93151311,67,6.550634651,67,5.146927226,67,14.20418228,67,7.457195697,134,10.14178615,134,12.42865949
136,5.081940771,136,12.37342101,136,8.175296023,136,13.92009863,136,15.46677626,136,11.53379601,136,11.93151311,68,6.550634651,68,5.146927226,68,14.3462241,68,7.457195697,136,10.53950325,136,11.93151311
138,5.081940771,138,12.15246706,138,8.838157863,138,14.14105258,138,15.24582231,138,11.53379601,138,12.13037167,69,6.433659032,69,5.029951607,69,14.48826593,69,7.622911157,138,10.3406447,138,12.3043729
140,5.192417744,140,12.37342101,140,8.175296023,140,14.14105258,140,15.24582231,140,11.33493746,140,11.93151311,70,6.433659032,70,5.029951607,70,14.20418228,70,7.457195697,140,10.3406447,140,12.05579971
142,5.081940771,142,12.37342101,142,8.617203916,142,14.14105258,142,15.24582231,142,11.33493746,142,11.73265456,71,6.433659032,71,5.029951607,71,14.48826593,71,7.622911157,142,10.3406447,142,12.3043729
144,5.192417744,144,11.93151311,144,8.617203916,144,14.14105258,144,15.46677626,144,11.33493746,144,12.13037167,72,6.550634651,72,5.029951607,72,14.63030775,72,7.457195697,144,10.53950325,144,12.67723268
146,5.081940771,146,12.37342101,146,8.617203916,146,14.14105258,146,15.46677626,146,11.13607891,146,11.93151311,73,6.550634651,73,5.146927226,73,14.63030775,73,7.457195697,146,10.3406447,146,12.55294609
148,5.192417744,148,12.37342101,148,8.39624997,148,13.69914469,148,15.46677626,148,11.33493746,148,12.13037167,74,6.433659032,74,5.380878464,74,15.05643322,74,7.622911157,148,10.53950325,148,12.67723268
150,5.192417744,150,12.37342101,150,8.838157863,150,14.14105258,150,15.90868415,150,11.33493746,150,11.93151311,75,6.433659032,75,5.263902845,75,14.77234957,75,7.622911157,150,9.34635194,150,12.55294609
152,5.081940771,152,12.15246706,152,8.617203916,152,14.58296047,152,15.68773021,152,11.13607891,152,11.93151311,76,6.66761027,76,5.380878464,76,15.05643322,76,7.457195697,152,8.948634836,152,12.92580587
154,5.192417744,154,12.37342101,154,8.838157863,154,14.58296047,154,15.68773021,154,11.33493746,154,11.73265456,77,6.550634651,77,5.146927226,77,15.19847504,77,7.622911157,154,10.53950325,154,13.05009247
156,5.413371691,156,12.15246706,156,8.617203916,156,14.80391442,156,15.46677626,156,11.33493746,156,11.93151311,78,6.66761027,78,5.263902845,78,15.05643322,78,7.291480237,156,9.942927596,156,12.92580587
158,5.413371691,158,12.15246706,158,8.39624997,158,14.80391442,158,15.68773021,158,11.33493746,158,11.73265456,79,6.550634651,79,5.263902845,79,15.19847504,79,7.457195697,158,10.3406447,158,13.17437906
160,5.302894718,160,12.59437495,160,8.39624997,160,14.58296047,160,15.68773021,160,11.33493746,160,11.93151311,80,6.550634651,80,5.497854082,80,15.34051686,80,7.291480237,160,10.53950325,160,12.80151928
162,5.192417744,162,12.8153289,162,8.39624997,162,15.02486837,162,15.90868415,162,11.13607891,162,12.13037167,81,6.550634651,81,5.380878464,81,15.19847504,81,7.457195697,162,10.3406447,162,13.05009247
164,5.302894718,164,12.37342101,164,8.39624997,164,14.80391442,164,15.90868415,164,11.33493746,164,12.13037167,82,6.433659032,82,5.380878464,82,15.48255868,82,7.291480237,164,10.53950325,164,13.05009247
166,5.413371691,166,12.37342101,166,8.39624997,166,15.02486837,166,15.90868415,166,11.33493746,166,12.13037167,83,6.784585889,83,5.263902845,83,15.62460051,83,7.457195697,166,10.3406447,166,12.92580587
168,5.302894718,168,12.59437495,168,8.175296023,168,14.58296047,168,16.1296381,168,11.33493746,168,11.93151311,84,6.66761027,84,5.380878464,84,15.76664233,84,7.457195697,168,10.7383618,168,13.42295225
170,5.523848664,170,12.37342101,170,8.838157863,170,15.02486837,170,15.90868415,170,11.33493746,170,12.32923022,85,6.433659032,85,5.029951607,85,15.90868415,85,7.457195697,170,10.7383618,170,13.17437906
172,5.413371691,172,11.26865128,172,8.617203916,172,15.24582231,172,15.90868415,172,11.33493746,172,12.13037167,86,6.66761027,86,5.497854082,86,16.05072598,86,7.457195697,172,10.93722036,172,12.92580587
174,5.302894718,174,12.59437495,174,8.617203916,174,15.02486837,174,16.1296381,174,11.33493746,174,12.13037167,87,6.66761027,87,5.263902845,87,15.76664233,87,7.457195697,174,10.53950325,174,12.92580587
176,5.192417744,176,12.37342101,176,8.617203916,176,15.46677626,176,16.1296381,176,11.33493746,176,12.13037167,88,6.550634651,88,5.380878464,88,16.05072598,88,7.457195697,176,10.3406447,176,13.54723885
178,5.302894718,178,12.8153289,178,8.617203916,178,15.46677626,178,16.1296381,178,11.33493746,178,12.32923022,89,6.66761027,89,5.497854082,89,16.05072598,89,7.622911157,178,11.53379601,178,13.29866566
180,5.302894718,180,12.8153289,180,8.838157863,180,15.68773021,180,15.90868415,180,11.33493746,180,12.13037167,90,6.550634651,90,5.497854082,90,16.1927678,90,7.291480237,180,10.93722036,180,13.42295225
182,5.302894718,182,13.03628285,182,8.838157863,182,15.46677626,182,16.1296381,182,11.33493746,182,12.13037167,91,6.550634651,91,5.497854082,91,16.1927678,91,7.622911157,182,10.93722036,182,13.42295225
184,5.081940771,184,13.03628285,184,8.838157863,184,15.68773021,184,15.90868415,184,11.33493746,184,11.93151311,92,6.550634651,92,5.263902845,92,16.1927678,92,7.457195697,184,10.93722036,184,13.54723885
186,5.302894718,186,13.03628285,186,8.838157863,186,15.68773021,186,16.1296381,186,11.33493746,186,11.93151311,93,6.550634651,93,5.380878464,93,16.47685144,93,7.622911157,186,11.13607891,186,13.79581204
188,5.302894718,188,13.03628285,188,8.838157863,188,15.68773021,188,16.1296381,188,11.33493746,188,12.13037167,94,6.66761027,94,5.614829701,94,16.33480962,94,7.788626617,188,10.7383618,188,13.67152544
190,5.081940771,190,12.59437495,190,8.838157863,190,15.90868415,190,16.1296381,190,11.33493746,190,12.13037167,95,6.66761027,95,5.497854082,95,16.47685144,95,7.622911157,190,10.3406447,190,13.67152544
192,5.192417744,192,12.8153289,192,8.617203916,192,15.90868415,192,16.35059205,192,11.53379601,192,12.13037167,96,6.66761027,96,5.614829701,96,16.47685144,96,7.954342076,192,11.13607891,192,13.29866566
194,5.192417744,194,12.8153289,194,8.838157863,194,15.90868415,194,16.35059205,194,11.53379601,194,12.13037167,97,6.66761027,97,5.146927226,97,16.76093509,97,7.788626617,194,10.7383618,194,13.54723885
196,5.413371691,196,13.25723679,196,9.059111809,196,16.1296381,196,16.1296381,196,11.33493746,196,11.73265456,98,6.66761027,98,5.614829701,98,16.61889327,98,7.622911157,196,10.93722036,196,13.42295225
198,5.634325638,198,12.59437495,198,9.059111809,198,15.90868415,198,16.35059205,198,11.33493746,198,12.13037167,99,6.66761027,99,5.614829701,99,16.61889327,99,7.954342076,198,11.13607891,198,13.67152544
200,5.523848664,200,13.03628285,200,9.059111809,200,15.90868415,200,16.35059205,200,11.33493746,200,11.93151311,100,6.550634651,100,5.614829701,100,16.76093509,100,7.788626617,200,10.93722036,200,13.67152544
202,5.413371691,202,13.03628285,202,8.838157863,202,15.68773021,202,16.35059205,202,11.33493746,202,12.13037167,101,6.550634651,101,5.614829701,101,16.76093509,101,7.788626617,202,10.3406447,202,13.79581204
204,5.523848664,204,13.25723679,204,8.617203916,204,15.90868415,204,16.57154599,204,11.13607891,204,12.13037167,102,6.66761027,102,5.497854082,102,16.90297691,102,7.788626617,204,10.93722036,204,13.42295225
206,5.413371691,206,13.25723679,206,8.838157863,206,15.90868415,206,16.57154599,206,11.33493746,206,11.93151311,103,6.784585889,103,5.497854082,103,17.04501874,103,7.788626617,206,11.13607891,206,13.79581204
208,5.523848664,208,13.03628285,208,8.838157863,208,15.90868415,208,16.35059205,208,11.33493746,208,12.13037167,104,6.550634651,104,5.497854082,104,16.90297691,104,7.788626617,208,10.7383618,208,13.92009863
210,5.413371691,210,13.03628285,210,8.838157863,210,15.90868415,210,16.57154599,210,11.33493746,210,12.13037167,105,6.433659032,105,5.497854082,105,16.90297691,105,7.954342076,210,11.13607891,210,13.92009863
212,5.523848664,212,12.8153289,212,8.838157863,212,16.1296381,212,16.35059205,212,11.33493746,212,11.93151311,106,6.550634651,106,5.614829701,106,16.90297691,106,7.954342076,212,11.13607891,212,14.04438523
214,5.302894718,214,13.03628285,214,9.059111809,214,16.1296381,214,16.57154599,214,11.53379601,214,12.13037167,107,6.784585889,107,5.73180532,107,17.04501874,107,7.954342076,214,11.13607891,214,13.67152544
216,5.413371691,216,12.8153289,216,9.280065756,216,16.1296381,216,16.35059205,216,11.33493746,216,12.13037167,108,6.550634651,108,5.614829701,108,17.04501874,108,7.788626617,216,11.33493746,216,14.16867182
